case_id,sample_id,image_file,source_bucket,query_type,language,expected_chart_family,query,human_visible_chart_family,human_chart_family_acceptable,human_labels_readable,human_relevant_fields_visible,human_transform_preserved,human_overall_acceptable,human_primary_error,human_confidence,human_notes,difficulty_band,yes_count,no_count,unclear_count,gpt4o_overall,qwen3_overall,qwen25_overall,minicpm_overall,granite_overall,llava_overall
calib_136,vinl2vis_31584,calib_136__vinl2vis_31584.png,deterministic_failure,underspecified,,bar,,,,,,,,,,,strong_disagreement,4,2,0,no,yes,yes,yes,yes,no
calib_142,vinl2vis_22881,calib_142__vinl2vis_22881.png,deterministic_failure,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số goods imports (bop, current us$) mẫu 20.",,,,,,,,,,boundary,4,1,1,yes,yes,yes,yes,unclear,no
calib_144,vinl2vis_25161,calib_144__vinl2vis_25161.png,deterministic_failure,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, germany (current us$) mẫu 20.",,,,,,,,,,boundary,3,2,1,no,no,yes,yes,yes,unclear
calib_147,vinl2vis_04125,calib_147__vinl2vis_04125.png,deterministic_failure,explicit,en,bubble_chart,"Create a bubble chart using Tỷ lệ nhập học tiểu học, Tỷ lệ nhập học trung học, and Tỷ lệ nhập học đại học.",,,,,,,,,,boundary,3,2,1,no,no,yes,yes,yes,unclear
calib_167,vinl2vis_31704,calib_167__vinl2vis_31704.png,deterministic_failure,underspecified,vi,bar,Xếp hạng các nước theo chỉ số nitrous oxide (n2o) emissions (total) excluding lulucf (% change from 1990).,,,,,,,,,,strong_disagreement,3,1,2,no,yes,yes,yes,unclear,unclear
calib_171,vinl2vis_22916,calib_171__vinl2vis_22916.png,deterministic_failure,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số service imports (bop, current us$) mẫu 15.",,,,,,,,,,boundary,4,1,1,yes,yes,yes,yes,unclear,no
calib_175,vinl2vis_05241,calib_175__vinl2vis_05241.png,weak_judge_only_flag,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số average precipitation in depth (mm per year) mẫu 20.,,,,,,,,,,boundary,3,2,1,no,no,yes,yes,yes,unclear
calib_176,vinl2vis_26510,calib_176__vinl2vis_26510.png,weak_judge_only_flag,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",,,,,,,,,,strong_disagreement,3,2,1,no,yes,unclear,yes,yes,no
calib_177,vinl2vis_05521,calib_177__vinl2vis_05521.png,weak_judge_only_flag,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số cereal yield (kg per hectare) mẫu 20.,,,,,,,,,,strong_disagreement,3,1,2,no,yes,yes,yes,unclear,unclear
calib_179,vinl2vis_25361,calib_179__vinl2vis_25361.png,weak_judge_only_flag,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, united kingdom (current us$) mẫu 20.",,,,,,,,,,strong_disagreement,3,1,2,no,yes,yes,yes,unclear,unclear
calib_185,vinl2vis_22921,calib_185__vinl2vis_22921.png,weak_judge_only_flag,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số service imports (bop, current us$) mẫu 20.",,,,,,,,,,boundary,4,1,1,yes,yes,yes,yes,unclear,no
calib_186,vinl2vis_24157,calib_186__vinl2vis_24157.png,weak_judge_only_flag,explicit,vi,bar,"So sánh chỉ số charges for the use of intellectual property, receipts (bop, current us$) ở các quốc gia, biến thể 16.",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_195,vinl2vis_24637,calib_195__vinl2vis_24637.png,weak_judge_only_flag,explicit,vi,bar,"So sánh chỉ số market capitalization of listed domestic companies (current us$) ở các quốc gia, biến thể 16.",,,,,,,,,,strong_disagreement,4,2,0,no,yes,yes,yes,yes,no
calib_198,vinl2vis_25321,calib_198__vinl2vis_25321.png,weak_judge_only_flag,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, france (current us$) mẫu 20.",,,,,,,,,,boundary,3,2,1,no,no,yes,yes,yes,unclear
calib_200,vinl2vis_23602,calib_200__vinl2vis_23602.png,weak_judge_only_flag,explicit,vi,bar,"So sánh chỉ số portfolio investment, net (bop, current us$) ở các quốc gia, biến thể 21.",,,,,,,,,,strong_disagreement,4,2,0,no,yes,yes,yes,yes,no
calib_204,vinl2vis_25082,calib_204__vinl2vis_25082.png,weak_judge_only_flag,explicit,vi,bar,"So sánh chỉ số net bilateral aid flows from dac donors, switzerland (current us$) ở các quốc gia, biến thể 21.",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_122,vinl2vis_28950,calib_122__vinl2vis_28950.png,cross_judge_disagreement,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",,,,,,,,,,hard_or_bad,3,3,0,no,no,yes,yes,yes,no
calib_123,vinl2vis_25921,calib_123__vinl2vis_25921.png,cross_judge_disagreement,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số external debt stocks (% of gni) mẫu 20.,,,,,,,,,,boundary,2,2,2,no,no,yes,yes,unclear,unclear
calib_124,vinl2vis_29351,calib_124__vinl2vis_29351.png,cross_judge_disagreement,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",,,,,,,,,,boundary,3,2,1,no,no,yes,yes,yes,unclear
calib_126,vinl2vis_24921,calib_126__vinl2vis_24921.png,cross_judge_disagreement,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, austria (current us$) mẫu 20.",,,,,,,,,,strong_disagreement,3,1,2,yes,no,yes,yes,unclear,unclear
calib_127,vinl2vis_31704,calib_127__vinl2vis_31704.png,cross_judge_disagreement,underspecified,vi,bar,Xếp hạng các nước theo chỉ số nitrous oxide (n2o) emissions (total) excluding lulucf (% change from 1990).,,,,,,,,,,strong_disagreement,3,1,2,no,yes,yes,yes,unclear,unclear
calib_129,vinl2vis_25001,calib_129__vinl2vis_25001.png,cross_judge_disagreement,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, canada (current us$) mẫu 20.",,,,,,,,,,boundary,2,2,2,no,no,yes,yes,unclear,unclear
calib_130,vinl2vis_32864,calib_130__vinl2vis_32864.png,cross_judge_disagreement,underspecified,vi,bar,Xếp hạng các nước theo chỉ số level of water stress: freshwater withdrawal as a proportion of available freshwater resources.,,,,,,,,,,strong_disagreement,3,1,2,no,yes,yes,yes,unclear,unclear
calib_131,vinl2vis_24801,calib_131__vinl2vis_24801.png,cross_judge_disagreement,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số stocks traded, total value (% of gdp) mẫu 20.",,,,,,,,,,boundary,2,2,2,no,no,yes,yes,unclear,unclear
calib_005,vinl2vis_23602,calib_005__vinl2vis_23602.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số portfolio investment, net (bop, current us$) ở các quốc gia, biến thể 21.",,,,,,,,,,strong_disagreement,4,2,0,no,yes,yes,yes,yes,no
calib_006,vinl2vis_25082,calib_006__vinl2vis_25082.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số net bilateral aid flows from dac donors, switzerland (current us$) ở các quốc gia, biến thể 21.",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_022,vinl2vis_32864,calib_022__vinl2vis_32864.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số level of water stress: freshwater withdrawal as a proportion of available freshwater resources.,,,,,,,,,,strong_disagreement,3,1,2,no,yes,yes,yes,unclear,unclear
calib_024,vinl2vis_32784,calib_024__vinl2vis_32784.png,vlm_consensus_accepted,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số annual freshwater withdrawals, domestic (% of total freshwater withdrawal).",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_026,vinl2vis_05116,calib_026__vinl2vis_05116.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số tree cover loss (hectares) mẫu 15.,,,,,,,,,,boundary,4,1,1,yes,yes,yes,yes,unclear,no
calib_029,vinl2vis_31664,calib_029__vinl2vis_31664.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số nitrous oxide (n2o) emissions from waste (mt co2e).,,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_034,vinl2vis_30464,calib_034__vinl2vis_30464.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số methane (ch4) emissions from transport (energy) (mt co2e).,,,,,,,,,,strong_disagreement,4,2,0,no,yes,yes,yes,yes,no
calib_035,vinl2vis_31984,calib_035__vinl2vis_31984.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số population in urban agglomerations of more than 1 million.,,,,,,,,,,strong_disagreement,4,2,0,no,yes,yes,yes,yes,no
calib_215,vinl2vis_23001,calib_215__vinl2vis_23001.png,supplemental_vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số imports of goods, services and primary income (bop, current us$) mẫu 20.",,,,,,,,,,boundary,4,1,1,yes,yes,yes,yes,unclear,no
calib_217,vinl2vis_04796,calib_217__vinl2vis_04796.png,supplemental_vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số fertilizer consumption (kilograms per hectare of arable land) mẫu 15.,,,,,,,,,,boundary,4,1,1,yes,yes,yes,yes,unclear,no
calib_221,vinl2vis_23196,calib_221__vinl2vis_23196.png,supplemental_vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số secondary income, other sectors, payments (bop, current us$) mẫu 15.",,,,,,,,,,boundary,4,1,1,yes,yes,yes,yes,unclear,no
calib_222,vinl2vis_22876,calib_222__vinl2vis_22876.png,supplemental_vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số goods imports (bop, current us$) mẫu 15.",,,,,,,,,,boundary,4,1,1,yes,yes,yes,yes,unclear,no
calib_226,vinl2vis_24876,calib_226__vinl2vis_24876.png,supplemental_vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, australia (current us$) mẫu 15.",,,,,,,,,,boundary,4,0,2,yes,yes,yes,yes,unclear,unclear
calib_227,vinl2vis_30544,calib_227__vinl2vis_30544.png,supplemental_vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số methane (ch4) emissions (total) excluding lulucf (% change from 1990).,,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_232,vinl2vis_25196,calib_232__vinl2vis_25196.png,supplemental_vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, denmark (current us$) mẫu 15.",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_233,vinl2vis_25557,calib_233__vinl2vis_25557.png,supplemental_vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số net bilateral aid flows from dac donors, korea, rep. (current us$) ở các quốc gia, biến thể 16.",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_036,vinl2vis_25201,calib_036__vinl2vis_25201.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, denmark (current us$) mẫu 20.",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_047,vinl2vis_28710,calib_047__vinl2vis_28710.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_049,vinl2vis_27790,calib_049__vinl2vis_27790.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",,,,,,,,,,strong_disagreement,3,2,1,no,yes,yes,yes,unclear,no
calib_050,vinl2vis_33024,calib_050__vinl2vis_33024.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số renewable internal freshwater resources per capita (cubic meters).,,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_051,vinl2vis_32944,calib_051__vinl2vis_32944.png,vlm_consensus_accepted,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số annual freshwater withdrawals, total (% of internal resources).",,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_053,vinl2vis_22997,calib_053__vinl2vis_22997.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số imports of goods, services and primary income (bop, current us$) ở các quốc gia, biến thể 16.",,,,,,,,,,hard_or_bad,3,3,0,no,no,yes,yes,yes,no
calib_055,vinl2vis_23962,calib_055__vinl2vis_23962.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số primary income receipts (bop, current us$) ở các quốc gia, biến thể 21.",,,,,,,,,,strong_disagreement,4,2,0,no,yes,yes,yes,yes,no
calib_060,vinl2vis_24676,calib_060__vinl2vis_24676.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số market capitalization of listed domestic companies (% of gdp) mẫu 15.,,,,,,,,,,boundary,4,0,2,yes,yes,yes,yes,unclear,unclear
calib_062,vinl2vis_25161,calib_062__vinl2vis_25161.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, germany (current us$) mẫu 20.",,,,,,,,,,boundary,3,2,1,no,no,yes,yes,yes,unclear
calib_063,vinl2vis_23042,calib_063__vinl2vis_23042.png,vlm_consensus_accepted,explicit,vi,bar,"So sánh chỉ số transport services (% of service imports, bop) ở các quốc gia, biến thể 21.",,,,,,,,,,strong_disagreement,4,2,0,no,yes,yes,yes,yes,no
calib_065,vinl2vis_04801,calib_065__vinl2vis_04801.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số fertilizer consumption (kilograms per hectare of arable land) mẫu 20.,,,,,,,,,,boundary,2,2,2,no,no,yes,yes,unclear,unclear
calib_066,vinl2vis_22961,calib_066__vinl2vis_22961.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số charges for the use of intellectual property, payments (bop, current us$) mẫu 20.",,,,,,,,,,strong_disagreement,3,1,2,no,yes,yes,yes,unclear,unclear
calib_068,vinl2vis_05521,calib_068__vinl2vis_05521.png,vlm_consensus_accepted,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số cereal yield (kg per hectare) mẫu 20.,,,,,,,,,,strong_disagreement,3,1,2,no,yes,yes,yes,unclear,unclear
calib_070,vinl2vis_31824,calib_070__vinl2vis_31824.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số population density (people per sq. km of land area).,,,,,,,,,,strong_disagreement,4,1,1,no,yes,yes,yes,yes,unclear
calib_078,vinl2vis_25481,calib_078__vinl2vis_25481.png,vlm_consensus_accepted,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, italy (current us$) mẫu 20.",,,,,,,,,,boundary,2,2,2,no,no,yes,yes,unclear,unclear
calib_099,vinl2vis_03644,calib_099__vinl2vis_03644.png,primary_vlm_flagged,explicit,vi,bar,Xếp hạng các nước theo tuổi thọ kỳ vọng của việt nam trong năm 2023.,,,,,,,,,,boundary,3,2,1,no,no,yes,yes,yes,unclear
