sample_id,source_bucket,source_artifact,dataset_id,query_type,language,expected_chart_family,query,image_path,existing_vlm_issue,existing_vlm_judgment,deterministic_evidence,human_visible_chart_family,human_chart_family_acceptable,human_labels_readable,human_relevant_fields_visible,human_transform_preserved,human_overall_acceptable,human_primary_error,human_confidence,human_notes
vinl2vis_05196,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_ag_lnd_frst_zs_forest_area_of_land_area,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số forest area (% of land area) mẫu 15.,/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_05196.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,line,yes,yes,yes,yes,yes,none,5,
vinl2vis_23557,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_bn_klt_dinv_cd_foreign_direct_investment_net_bop_current_us,explicit,vi,bar,"So sánh chỉ số foreign direct investment, net (bop, current us$) ở các quốc gia, biến thể 16.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_23557.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,no,yes,yes,yes,none,5,
vinl2vis_05396,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_ag_prd_food_xd_food_production_index_2014_2016_100,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số food production index (2014-2016 = 100) mẫu 15.,/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_05396.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,line,yes,yes,no,no,no,wrong_chart_type,5,
vinl2vis_29596,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_dt_dod_dect_cd_external_debt_stocks_total_dod_current_us,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số external debt stocks, total (dod, current us$) mẫu 15.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_29596.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,line,yes,no,yes,yes,yes,none,5,
vinl2vis_27110,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_dt_nfl_prvt_cd_ppg_private_creditors_nfl_us,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_27110.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,line,yes,yes,yes,yes,yes,none,4,
vinl2vis_24482,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_bx_trf_pwkr_cd_personal_transfers_receipts_bop_current_us,explicit,vi,bar,"So sánh chỉ số personal transfers, receipts (bop, current us$) ở các quốc gia, biến thể 21.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_24482.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,no,yes,yes,yes,none,4,
vinl2vis_26951,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_dt_nfl_pcbo_cd_commercial_banks_and_other_lending_ppg_png_nfl_current_,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_26951.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,yes,yes,yes,yes,none,5,
vinl2vis_26711,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_dt_nfl_mlat_cd_net_financial_flows_multilateral_nfl_current_us,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_26711.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,scatter,no,yes,yes,yes,yes,none,4,
vinl2vis_24117,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_bx_gsr_nfsv_cd_service_exports_bop_current_us,explicit,vi,bar,"So sánh chỉ số service exports (bop, current us$) ở các quốc gia, biến thể 16.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_24117.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,yes,yes,yes,yes,none,5,
vinl2vis_05317,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_ag_prd_crel_mt_cereal_production_metric_tons,explicit,vi,bar,"So sánh chỉ số cereal production (metric tons) ở các quốc gia, biến thể 16.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_05317.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,yes,no,yes,no,unreadable_labels,4,
vinl2vis_27191,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_dt_nfl_rdbn_cd_net_financial_flows_rdb_nonconcessional_nfl_current_us,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_27191.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,yes,yes,yes,no,wrong_chart_type,5,
vinl2vis_32864,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_er_h2o_fwst_zs_level_of_water_stress_freshwater_withdrawal_as_a_propor,underspecified,vi,bar,Xếp hạng các nước theo chỉ số level of water stress: freshwater withdrawal as a proportion of available freshwater resources.,/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_32864.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,yes,yes,yes,yes,none,5,
vinl2vis_29511,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_eg_use_pcap_kg_oe_energy_use_kg_of_oil_equivalent_per_capita,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_29511.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,yes,no,no,no,wrong_chart_type,5,
vinl2vis_32784,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_er_h2o_fwdm_zs_annual_freshwater_withdrawals_domestic_of_total_freshwa,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số annual freshwater withdrawals, domestic (% of total freshwater withdrawal).",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_32784.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,no,yes,yes,yes,none,5,
vinl2vis_28791,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_eg_elc_fosl_zs_electricity_production_from_oil_gas_and_coal_sources_of,multi_turn,vi,bar,"Hãy so sánh các nước.
Dùng năm mới nhất.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_28791.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,no,no,yes,yes,none,4,
vinl2vis_05116,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_ag_lnd_frls_ha_tree_cover_loss_hectares,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số tree cover loss (hectares) mẫu 15.,/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_05116.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,line,yes,yes,no,yes,no,data_mismatch,5,
vinl2vis_29070,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_eg_elc_rnwx_kh_electricity_production_from_renewable_sources_excluding,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_29070.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,line,yes,yes,yes,yes,yes,none,4,
vinl2vis_30664,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_en_ghg_co2_fe_mt_ce_ar5_carbon_dioxide_co2_emissions_from_fugitive_emi,underspecified,vi,bar,Xếp hạng các nước theo chỉ số carbon dioxide (co2) emissions from fugitive emissions (energy) (mt co2e).,/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_30664.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,scatter,no,no,yes,yes,yes,none,5,
vinl2vis_31664,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_en_ghg_n2o_wa_mt_ce_ar5_nitrous_oxide_n2o_emissions_from_waste_mt_co2e,underspecified,vi,bar,Xếp hạng các nước theo chỉ số nitrous oxide (n2o) emissions from waste (mt co2e).,/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_31664.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,no,yes,yes,yes,none,4,
vinl2vis_32584,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_er_fsh_aqua_mt_aquaculture_production_metric_tons,underspecified,vi,bar,Xếp hạng các nước theo chỉ số aquaculture production (metric tons).,/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_32584.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,scatter,no,yes,yes,no,yes,none,5,
vinl2vis_25922,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_dt_dod_dect_gn_zs_external_debt_stocks_of_gni,explicit,vi,bar,"So sánh chỉ số external debt stocks (% of gni) ở các quốc gia, biến thể 21.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_25922.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,no,yes,yes,yes,none,4,
vinl2vis_05201,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_ag_lnd_frst_zs_forest_area_of_land_area,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số forest area (% of land area) mẫu 20.,/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_05201.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,scatter,no,yes,yes,yes,yes,none,5,
vinl2vis_26910,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_dt_nfl_pcbk_cd_ppg_commercial_banks_nfl_current_us,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_26910.png,none,"{""acceptable"": true, ""visible_chart_family"": ""line"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,line,yes,yes,yes,yes,yes,none,4,
vinl2vis_30464,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_en_ghg_ch4_tr_mt_ce_ar5_methane_ch4_emissions_from_transport_energy_mt,underspecified,vi,bar,Xếp hạng các nước theo chỉ số methane (ch4) emissions from transport (energy) (mt co2e).,/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_30464.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,yes,yes,yes,yes,none,5,
vinl2vis_31984,vlm_consensus_accepted,vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4,wbexp_asean_en_urb_mcty_population_in_urban_agglomerations_of_more_than_1_million,underspecified,vi,bar,Xếp hạng các nước theo chỉ số population in urban agglomerations of more than 1 million.,/Users/nguyenthevinh/Library/CloudStorage/GoogleDrive-vinhnt@tnu.edu.vn/My Drive/NL2Vis_GenAI_Research_2025_2026/benchmark/faithbench/results/vlm_audit_heldout860_qwen3_8b_auditfix_v4_n860_qwen3vl4b_promptv4/images/vinl2vis_31984.png,none,"{""acceptable"": true, ""visible_chart_family"": ""bar"", ""major_issue"": ""none"", ""conservative_issue"": ""none""}",,bar,yes,no,no,no,no,unreadable_labels,5,
