case_id,sample_id,image_file,source_bucket,query_type,language,expected_chart_family,query,human_visible_chart_family,human_chart_family_acceptable,human_labels_readable,human_relevant_fields_visible,human_transform_preserved,human_overall_acceptable,human_primary_error,human_confidence,human_notes
calib_049,vinl2vis_27790,calib_049__vinl2vis_27790.png,vlm_consensus_accepted,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_050,vinl2vis_33024,calib_050__vinl2vis_33024.png,vlm_consensus_accepted,underspecified,vi,bar,Xếp hạng các nước theo chỉ số renewable internal freshwater resources per capita (cubic meters).,unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_051,vinl2vis_32944,calib_051__vinl2vis_32944.png,vlm_consensus_accepted,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số annual freshwater withdrawals, total (% of internal resources).",unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_081,vinl2vis_27344,calib_081__vinl2vis_27344.png,primary_vlm_flagged,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số net official flows from un agencies, undp (current us$).",unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_083,vinl2vis_03712,calib_083__vinl2vis_03712.png,primary_vlm_flagged,explicit,vi,bar,So sánh phát thải co2 bình quân đầu người của việt nam giữa các nước trong năm 2024.,unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_084,vinl2vis_04056,calib_084__vinl2vis_04056.png,primary_vlm_flagged,explicit,en,tick_plot,Create a tick plot for Tuổi thọ kỳ vọng in 2023.,tick_plot,yes,yes,yes,yes,yes,none,high,one short sentence
calib_085,vinl2vis_04144,calib_085__vinl2vis_04144.png,primary_vlm_flagged,explicit,en,heatmap,Create a heatmap of Tỷ lệ thất nghiệp by country and year.,unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_086,vinl2vis_00766,calib_086__vinl2vis_00766.png,primary_vlm_flagged,explicit,en,tick_plot,Create a tick plot for asean exports share of gdp in 2024.,unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_087,vinl2vis_24504,calib_087__vinl2vis_24504.png,primary_vlm_flagged,underspecified,vi,bar,"Xếp hạng các nước theo chỉ số personal remittances, received (current us$).",unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_122,vinl2vis_28950,calib_122__vinl2vis_28950.png,cross_judge_disagreement,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_175,vinl2vis_05241,calib_175__vinl2vis_05241.png,weak_judge_only_flag,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số average precipitation in depth (mm per year) mẫu 20.,unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_176,vinl2vis_26510,calib_176__vinl2vis_26510.png,weak_judge_only_flag,multi_turn,vi,line,"Tôi muốn xem xu hướng.
Dùng dữ liệu này và tách theo quốc gia.",unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_177,vinl2vis_05521,calib_177__vinl2vis_05521.png,weak_judge_only_flag,ambiguous,vi,line,Tạo biểu đồ phù hợp cho chỉ số cereal yield (kg per hectare) mẫu 20.,unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
calib_179,vinl2vis_25361,calib_179__vinl2vis_25361.png,weak_judge_only_flag,ambiguous,vi,line,"Tạo biểu đồ phù hợp cho chỉ số net bilateral aid flows from dac donors, united kingdom (current us$) mẫu 20.",unknown,unclear,unclear,unclear,unclear,unclear,unclear,unknown,one short sentence
