case_id,sample_id,case_family,evidence_strength,source_artifact,run_key,issue,dataset_id,query_type,language,expected_chart_family,query,notes
stress230_011,vinl2vis_03931,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,trend_missing_country_grouping,derived_population_profile,explicit,en,line,Draw a line chart for Dân số over time.,"expected country grouping, got none"
stress230_012,vinl2vis_06493,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_6064_zs_barro_lee_percentage_of_population_age_60_64_with_no_,explicit,en,line,"Show barro-lee: percentage of population age 60-64 with no education for ASEAN countries, variant 32.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_013,vinl2vis_03991,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/matched_bilingual1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,matched_residualfix,trend_missing_country_grouping,derived_health_profile,explicit,vi,line,Vẽ xu hướng tuổi thọ kỳ vọng trong hồ sơ y tế asean theo thời gian.,"expected country grouping, got none"
stress230_014,vinl2vis_05968,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_3034_fe_zs_barro_lee_percentage_of_female_population_age_30_3,explicit,en,line,"Show barro-lee: percentage of female population age 30-34 with no education for ASEAN countries, variant 27.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_015,vinl2vis_05113,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_lnd_frls_ha_tree_cover_loss_hectares,explicit,en,line,"Show tree cover loss (hectares) for ASEAN countries, variant 12.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_016,vinl2vis_05918,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_25up_zs_barro_lee_percentage_of_population_age_25_with_no_edu,explicit,en,line,"Show barro-lee: percentage of population age 25+ with no education for ASEAN countries, variant 17.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_017,vinl2vis_04843,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_lnd_agri_k2_agricultural_land_sq_km,explicit,en,line,"Show agricultural land (sq. km) for ASEAN countries, variant 22.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_018,vinl2vis_04893,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_lnd_agri_zs_agricultural_land_of_land_area,explicit,en,line,"Show agricultural land (% of land area) for ASEAN countries, variant 32.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_019,vinl2vis_06083,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_3539_zs_barro_lee_percentage_of_population_age_35_39_with_no_,explicit,en,line,"Show barro-lee: percentage of population age 35-39 with no education for ASEAN countries, variant 22.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_020,vinl2vis_01061,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/matched_bilingual1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,matched_residualfix,trend_missing_country_grouping,wb_asean_fdi_net_inflows_share_gdp,explicit,en,line,Draw a line chart showing asean fdi net inflows share of gdp over time.,"expected country grouping, got none"
stress230_021,vinl2vis_23307,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,trend_missing_country_grouping,wbexp_asean_bn_cab_xoka_gd_zs_current_account_balance_of_gdp,ambiguous,vi,line,Chỉ số Current account balance (% of GDP) gần đây thay đổi như thế nào?,"expected country grouping, got none"
stress230_022,vinl2vis_22747,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,trend_missing_country_grouping,wbexp_asean_bm_gsr_fcty_cd_primary_income_payments_bop_current_us,ambiguous,vi,line,"Chỉ số Primary income payments (BoP, current US$) gần đây thay đổi như thế nào?","expected country grouping, got none"
stress230_023,vinl2vis_04813,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_con_fert_zs_fertilizer_consumption_kilograms_per_hectare_of_arable_,explicit,en,line,"Show fertilizer consumption (kilograms per hectare of arable land) for ASEAN countries, variant 32.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_024,vinl2vis_24146,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,visual_chart_family_mismatch;line_expected_non_line_mark,wbexp_asean_bx_gsr_royl_cd_charges_for_the_use_of_intellectual_property_receipts_b,ambiguous,vi,line,"Cho tôi xem chỉ số charges for the use of intellectual property, receipts (bop, current us$).","expected line, mark=bar | expected line, got bar"
stress230_025,vinl2vis_06598,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_7074_fe_zs_barro_lee_percentage_of_female_population_age_70_7,explicit,en,line,"Show barro-lee: percentage of female population age 70-74 with no education for ASEAN countries, variant 17.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_026,vinl2vis_05078,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_lnd_crop_zs_permanent_cropland_of_land_area,explicit,en,line,"Show permanent cropland (% of land area) for ASEAN countries, variant 17.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_027,vinl2vis_06803,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_pop_15up_barro_lee_population_in_thousands_age_15_total,explicit,en,line,"Show barro-lee: population in thousands, age 15+, total for ASEAN countries, variant 22.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_028,vinl2vis_05998,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_3034_zs_barro_lee_percentage_of_population_age_30_34_with_no_,explicit,en,line,"Show barro-lee: percentage of population age 30-34 with no education for ASEAN countries, variant 17.","expected line, mark=bar | expected country grouping, got year | expected line, got bar"
stress230_029,vinl2vis_06368,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_5559_fe_zs_barro_lee_percentage_of_female_population_age_55_5,explicit,en,line,"Show barro-lee: percentage of female population age 55-59 with no education for ASEAN countries, variant 27.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_030,vinl2vis_05102,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,trend_missing_country_grouping,wbexp_asean_ag_lnd_frls_ha_tree_cover_loss_hectares,explicit,en,line,Draw a line chart showing tree cover loss (hectares) over time.,"expected country grouping, got none"
stress230_031,vinl2vis_00011,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/matched_bilingual1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,matched_residualfix,trend_missing_country_grouping,wb_asean_population,explicit,en,line,Draw a line chart showing asean population over time.,"expected country grouping, got none"
stress230_032,vinl2vis_05443,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_prd_lvsk_xd_livestock_production_index_2014_2016_100,explicit,en,line,"Show livestock production index (2014-2016 = 100) for ASEAN countries, variant 22.","expected line, mark=bar | expected country grouping, got year | expected line, got bar"
stress230_033,vinl2vis_03931,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/matched_bilingual1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,matched_residualfix,trend_missing_country_grouping,derived_population_profile,explicit,en,line,Draw a line chart for Dân số over time.,"expected country grouping, got none"
stress230_034,vinl2vis_05013,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_lnd_arbl_zs_arable_land_of_land_area,explicit,en,line,"Show arable land (% of land area) for ASEAN countries, variant 32.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_035,vinl2vis_05318,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_prd_crel_mt_cereal_production_metric_tons,explicit,en,line,"Show cereal production (metric tons) for ASEAN countries, variant 17.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_036,vinl2vis_23661,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,trend_missing_country_grouping,wbexp_asean_bn_trf_curr_cd_net_secondary_income_bop_current_us,explicit,vi,line,"Vẽ biểu đồ đường thể hiện chỉ số net secondary income (bop, current us$) theo thời gian.","expected country grouping, got none"
stress230_037,vinl2vis_04928,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_lnd_arbl_ha_arable_land_hectares,explicit,en,line,"Show arable land (hectares) for ASEAN countries, variant 27.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_038,vinl2vis_04848,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_lnd_agri_k2_agricultural_land_sq_km,explicit,en,line,"Show agricultural land (sq. km) for ASEAN countries, variant 27.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_039,vinl2vis_24707,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,trend_missing_country_grouping,wbexp_asean_cm_mkt_ldom_no_listed_domestic_companies_total,ambiguous,vi,line,"Chỉ số Listed domestic companies, total gần đây thay đổi như thế nào?","expected country grouping, got none"
stress230_040,vinl2vis_06568,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_6569_zs_barro_lee_percentage_of_population_age_65_69_with_no_,explicit,en,line,"Show barro-lee: percentage of population age 65-69 with no education for ASEAN countries, variant 27.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_041,vinl2vis_25067,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,trend_missing_country_grouping,wbexp_asean_dc_dac_chel_cd_net_bilateral_aid_flows_from_dac_donors_switzerland_cur,ambiguous,vi,line,"Chỉ số Net bilateral aid flows from DAC donors, Switzerland (current US$) gần đây thay đổi như thế nào?","expected country grouping, got none"
stress230_042,vinl2vis_06128,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_4044_fe_zs_barro_lee_percentage_of_female_population_age_40_4,explicit,en,line,"Show barro-lee: percentage of female population age 40-44 with no education for ASEAN countries, variant 27.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_043,vinl2vis_04753,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_con_fert_pt_zs_fertilizer_consumption_of_fertilizer_production,explicit,en,line,"Show fertilizer consumption (% of fertilizer production) for ASEAN countries, variant 12.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_044,vinl2vis_05933,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_25up_zs_barro_lee_percentage_of_population_age_25_with_no_edu,explicit,en,line,"Show barro-lee: percentage of population age 25+ with no education for ASEAN countries, variant 32.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_045,vinl2vis_06518,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_6569_fe_zs_barro_lee_percentage_of_female_population_age_65_6,explicit,en,line,"Show barro-lee: percentage of female population age 65-69 with no education for ASEAN countries, variant 17.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_046,vinl2vis_01831,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,trend_missing_country_grouping,wb_asean_literacy_rate_adult,explicit,en,line,Draw a line chart showing asean adult literacy rate over time.,"expected country grouping, got none"
stress230_047,vinl2vis_23461,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,trend_missing_country_grouping,wbexp_asean_bn_gsr_mrch_cd_net_trade_in_goods_bop_current_us,explicit,vi,line,"Vẽ biểu đồ đường thể hiện chỉ số net trade in goods (bop, current us$) theo thời gian.","expected country grouping, got none"
stress230_048,vinl2vis_05598,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_1519_zs_barro_lee_percentage_of_population_age_15_19_with_no_,explicit,en,line,"Show barro-lee: percentage of population age 15-19 with no education for ASEAN countries, variant 17.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_049,vinl2vis_00296,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,trend_missing_country_grouping,wb_asean_fertility_rate,explicit,en,area,Use an area chart to show changes in asean fertility rate over time.,"expected country grouping, got none"
stress230_050,vinl2vis_23266,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,visual_chart_family_mismatch;line_expected_non_line_mark,wbexp_asean_bn_cab_xoka_cd_current_account_balance_bop_current_us,ambiguous,vi,line,"Cho tôi xem chỉ số current account balance (bop, current us$).","expected line, mark=bar | expected line, got bar"
stress230_051,vinl2vis_06763,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_pop_1519_barro_lee_population_in_thousands_age_15_19_total,explicit,en,line,"Show barro-lee: population in thousands, age 15-19, total for ASEAN countries, variant 22.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_052,vinl2vis_03726,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,trend_missing_country_grouping,owid_co2_per_capita_vietnam,explicit,en,area,Use an area chart to show changes in vietnam co2 emissions per capita over time.,"expected country grouping, got none"
stress230_053,vinl2vis_05593,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_1519_zs_barro_lee_percentage_of_population_age_15_19_with_no_,explicit,en,line,"Show barro-lee: percentage of population age 15-19 with no education for ASEAN countries, variant 12.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_054,vinl2vis_06893,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_pop_2024_barro_lee_population_in_thousands_age_20_24_total,explicit,en,line,"Show barro-lee: population in thousands, age 20-24, total for ASEAN countries, variant 32.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_055,vinl2vis_05226,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,visual_chart_family_mismatch;line_expected_non_line_mark,wbexp_asean_ag_lnd_prcp_mm_average_precipitation_in_depth_mm_per_year,ambiguous,vi,line,Cho tôi xem chỉ số average precipitation in depth (mm per year).,"expected line, mark=bar | expected line, got bar"
stress230_056,vinl2vis_05098,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_lnd_crop_zs_permanent_cropland_of_land_area,explicit,en,line,"Show permanent cropland (% of land area) for ASEAN countries, variant 37.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_057,vinl2vis_23741,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,trend_missing_country_grouping,wbexp_asean_bx_grt_exta_cd_wd_grants_excluding_technical_cooperation_bop_current_u,explicit,vi,line,"Vẽ biểu đồ đường thể hiện chỉ số grants, excluding technical cooperation (bop, current us$) theo thời gian.","expected country grouping, got none"
stress230_058,vinl2vis_06578,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_6569_zs_barro_lee_percentage_of_population_age_65_69_with_no_,explicit,en,line,"Show barro-lee: percentage of population age 65-69 with no education for ASEAN countries, variant 37.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_059,vinl2vis_24227,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,trend_missing_country_grouping,wbexp_asean_bx_gsr_tran_zs_transport_services_of_service_exports_bop,ambiguous,vi,line,"Chỉ số Transport services (% of service exports, BoP) gần đây thay đổi như thế nào?","expected country grouping, got none"
stress230_060,vinl2vis_25267,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/balanced1000_qwen3_4b_qwen_chart_family_strict_repair_residualfix_v1/visual_sanity_per_output.csv,balanced_residualfix,trend_missing_country_grouping,wbexp_asean_dc_dac_finl_cd_net_bilateral_aid_flows_from_dac_donors_finland_current,ambiguous,vi,line,"Chỉ số Net bilateral aid flows from DAC donors, Finland (current US$) gần đây thay đổi như thế nào?","expected country grouping, got none"
stress230_061,vinl2vis_05538,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_ag_yld_crel_kg_cereal_yield_kg_per_hectare,explicit,en,line,"Show cereal yield (kg per hectare) for ASEAN countries, variant 37.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
stress230_062,vinl2vis_05618,major_visual_sanity_failure,programmatic_visual_failure,benchmark/faithbench/results/english1000_qwen3_4b_residualfix_v1/visual_sanity_per_output.csv,english_residualfix,visual_chart_family_mismatch;trend_missing_country_grouping;line_expected_non_line_mark,wbexp_asean_bar_noed_1519_zs_barro_lee_percentage_of_population_age_15_19_with_no_,explicit,en,line,"Show barro-lee: percentage of population age 15-19 with no education for ASEAN countries, variant 37.","expected line, mark=bar | expected country grouping, got none | expected line, got bar"
